Model,Score,Runtime
CNN,488.7321690726352,0.8917193412780762
CNN,493.73714633467455,0.5014228820800781
CNN,504.45228865530936,0.4756040573120117
CNN,491.2797788553133,0.4753539562225342
CNN,497.2929705353036,0.40906834602355957
EEGNet,541.3199187923468,0.3051435947418213
EEGNet,541.0688548284381,0.2855968475341797
EEGNet,540.4040344613198,0.2846250534057617
EEGNet,541.0815496796245,0.28485631942749023
EEGNet,541.0717298494085,0.2846190929412842
InceptionTime,362.3774089684149,0.6434736251831055
InceptionTime,361.72466541209747,0.6375863552093506
InceptionTime,355.9360333584903,0.6297292709350586
InceptionTime,358.1010249348263,0.6343793869018555
InceptionTime,360.22432318114517,0.6352324485778809
PyramidalCNN,408.05598734896864,0.37005186080932617
PyramidalCNN,392.23590228350264,0.3629753589630127
PyramidalCNN,407.02844932592944,0.36238908767700195
PyramidalCNN,402.03021371451524,0.36272215843200684
PyramidalCNN,401.9895525981582,0.3635225296020508
Xception,361.2356081315944,0.4886040687561035
Xception,365.3987478047366,0.48742175102233887
Xception,360.26043860607547,0.47988224029541016
Xception,362.8821317913905,0.48560309410095215
Xception,365.2880218781787,0.488422155380249
